rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,K Rogers,27,36.3,20.1,8.0,4.6,1.7,0.4,3.4,6.7694555627144375,2.336925710980567,1.8462717862109246,2.937539365236753,1.476031964461069,0.2194756406530736,2.626021834771425
2,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Jackson,20,33.3,21.9,7.9,1.8,0.8,0.3,2.1,6.105778194088347,2.703737338351714,1.8012407670350485,0.36245881670508756,-0.1032190184937811,-0.07901123063510652,0.9064638333359144
3,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,A Barry,26,32.4,15.2,5.2,2.3,2.1,0.8,1.7,5.15593136700468,1.3383829475813296,0.5854032492863909,0.8222946289428849,2.1779212902187806,1.4134231258057937,0.37736906366344936
4,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Annan,26,27.4,11.5,6.2,3.0,2.0,1.6,2.1,5.096719743953614,0.5843812690961918,1.0357134410451532,1.4660647660758015,2.0024489587793526,3.8013180961112343,0.9064638333359144
5,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Williams,25,35.7,19.8,5.6,2.4,1.3,0.3,2.5,4.926552083297743,2.2757904397520416,0.7655273259898956,0.9142617913904444,0.774142638703358,-0.07901123063510652,1.4355586030083791
6,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J Thomson,27,27.6,10.1,11.6,1.1,1.0,1.3,1.2,4.632411764730657,0.29908333669640985,3.4673884765424683,-0.28131132042782886,0.24772564438507447,2.905857482246694,-0.28399939842713173
7,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Okla,27,31.7,14.9,9.0,1.8,1.6,0.1,2.0,4.108759126148801,1.2772476763528051,2.2965819779696868,0.36245881670508756,1.3005596330216416,-0.6759849732114666,0.774190140917798
8,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,D Kikuba,26,29.3,13.1,4.5,5.6,2.1,0.1,2.8,3.9951144855941116,0.9104360489816568,0.2701861150552573,3.8572109897123474,2.1779212902187806,-0.6759849732114666,1.8323796802627275
9,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,X Lewis,24,33.6,14.2,3.4,2.9,1.9,0.0,1.1,3.832728039826367,1.1345987101529138,-0.22515509587938107,1.374097603628242,1.8269766273399246,-0.9744718444996465,-0.4162730908452478
10,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,F Koite,26,27.8,15.4,4.2,1.2,1.9,0.7,2.0,3.571908148011707,1.3791397950670128,0.13509305752762876,-0.1893441579802695,1.8269766273399246,1.1149362545176134,0.774190140917798
11,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,R Orleans,26,28.6,13.4,9.7,0.4,1.2,0.5,1.6,3.48608511127474,0.9715713202101816,2.61179911220082,-0.9250814575607454,0.59867030726393,0.5179625119412535,0.2450953712453333
12,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,Z Taylor,25,31.1,16.4,6.1,2.8,0.6,0.4,2.6,3.3852072124248496,1.5829240324954281,0.9906824218692766,1.2821304411806822,-0.45416368137263685,0.2194756406530736,1.5678322954264954
13,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,A Allah,26,33.2,12.7,4.3,3.1,1.9,0.4,2.0,3.2784279329416472,0.8289223540102905,0.18012407670350483,1.558031928523361,1.8269766273399246,0.2194756406530736,0.774190140917798
14,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,J Saint Jean,24,31.3,13.4,9.2,0.8,0.8,1.3,2.8,3.1591599740722893,0.9715713202101816,2.386644016321439,-0.5572128077705074,-0.1032190184937811,2.905857482246694,1.8323796802627275
15,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,L Jennings,24,24.8,12.0,7.3,1.4,0.8,0.8,1.5,3.005342859441281,0.6862733878103996,1.5310546519797912,-0.00540983308515054,-0.1032190184937811,1.4134231258057937,0.11282167882721696
16,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,L Washington,27,35.1,9.4,5.6,4.2,2.7,0.0,2.3,2.8388401126386587,0.15643437049651904,0.7655273259898956,2.5696707154465157,3.2307552788553475,-0.9744718444996465,1.1710112181721464
17,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,F Field,24,31.7,11.9,6.9,1.5,1.7,0.3,1.8,2.6288276234299315,0.6658949640675581,1.3509305752762866,0.08655732936240904,1.476031964461069,-0.07901123063510652,0.5096427560815657
18,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,D Rogers,18,29.2,15.6,3.8,2.0,1.6,0.4,2.8,2.4848606634295987,1.4198966425526958,-0.045031019175876257,0.5463931416002065,1.3005596330216416,0.2194756406530736,1.8323796802627275
19,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J James,27,29.9,13.3,3.0,1.9,1.4,0.1,1.2,2.3008030747408776,0.9511928964673401,-0.40527917258288587,0.45442597915264693,0.9496149701427855,-0.6759849732114666,-0.28399939842713173
20,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,J Walker,25,28.8,13.1,3.8,3.4,1.3,0.2,2.5,2.12297916162976,0.9104360489816568,-0.045031019175876257,1.8339334158660394,0.774142638703358,-0.3774981019232865,1.4355586030083791
21,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,L Miglionico,25,29.2,16.4,3.9,0.8,0.5,0.3,2.5,1.2730285954212117,1.5829240324954281,0.0,-0.5572128077705074,-0.6296360128120646,-0.07901123063510652,1.4355586030083791
22,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,K Franks,23,25.9,9.0,4.7,2.1,1.6,0.4,1.9,1.0953517493062606,0.07492067552515272,0.36024815340700983,0.6383603040477661,1.3005596330216416,0.2194756406530736,0.6419164484996818
23,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Quinn,24,24.8,13.5,3.1,1.5,0.5,0.0,1.6,0.7941856854227034,0.991949743953023,-0.36024815340700966,0.08655732936240904,-0.6296360128120646,-0.9744718444996465,0.2450953712453333
24,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,S Sweeney,26,25.9,11.0,2.2,1.3,0.7,0.2,0.7,0.7891448381840668,0.482489150381984,-0.7655273259898956,-0.09737699553270991,-0.27869134993320904,-0.3774981019232865,-0.9453678605177128
25,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Jean Charles,21,19.4,9.0,5.5,0.7,0.8,0.6,1.4,0.5719395799080179,0.07492067552515272,0.7204963068140194,-0.649179970218067,-0.1032190184937811,0.8164493832294335,-0.019452013590899375
26,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,V Chase,27,33.0,10.5,6.6,1.1,0.9,0.6,2.9,0.2879910514029975,0.3805970316677762,1.2158375177486578,-0.28131132042782886,0.07225331294564669,0.8164493832294335,1.964653372680844
27,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,N Von Zboray,25,25.3,11.1,2.7,1.0,0.8,0.0,1.0,0.2661716442734965,0.5028675741248255,-0.5403722301105145,-0.37327848287538845,-0.1032190184937811,-0.9744718444996465,-0.5485467832633641
28,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,O Merryman,26,26.0,10.2,3.7,1.0,0.6,0.3,1.4,0.06355931088835191,0.31946176043925134,-0.0900620383517523,-0.37327848287538845,-0.45416368137263685,-0.07901123063510652,-0.019452013590899375
29,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,K Witherow-Bass,15,18.2,8.3,4.3,0.5,0.7,0.3,0.7,-0.01510673610624036,-0.06772829067473808,0.18012407670350483,-0.8331142951131859,-0.27869134993320904,-0.07901123063510652,-0.9453678605177128
30,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,M Drayton,15,30.9,12.9,2.9,1.0,0.5,0.0,1.9,-0.1527407567075587,0.8696792014959738,-0.45031019175876214,-0.37327848287538845,-0.6296360128120646,-0.9744718444996465,0.6419164484996818
31,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,L Talbot,25,20.5,8.8,2.5,1.5,1.0,0.2,1.4,-0.36171081918734754,0.03416382803946974,-0.630434268462267,0.08655732936240904,0.24772564438507447,-0.3774981019232865,-0.019452013590899375
32,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,E Daleba,26,17.1,8.0,3.6,1.1,0.8,0.4,1.3,-0.3697013124884874,-0.12886356190326292,-0.13509305752762857,-0.28131132042782886,-0.1032190184937811,0.2194756406530736,-0.15172570600901542
33,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,J Mills,25,23.2,6.0,5.9,1.0,0.7,0.6,1.5,-0.5251030694843546,-0.5364320367600942,0.9006203835175245,-0.37327848287538845,-0.27869134993320904,0.8164493832294335,0.11282167882721696
34,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Buckle,25,19.5,9.4,2.6,1.9,0.6,0.0,1.5,-0.5833904540984979,0.15643437049651904,-0.5854032492863908,0.45442597915264693,-0.45416368137263685,-0.9744718444996465,0.11282167882721696
35,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,T Rosario,24,23.0,6.9,3.3,1.9,0.8,0.1,1.6,-1.1627628341297578,-0.35302622307452003,-0.2701861150552573,0.45442597915264693,-0.1032190184937811,-0.6759849732114666,0.2450953712453333
36,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,C Hoekstra,24,14.8,2.9,4.1,0.4,0.8,0.7,0.3,-1.2354112168586018,-1.1681631727881825,0.0900620383517523,-0.9250814575607454,-0.1032190184937811,1.1149362545176134,-1.4744626301901775
37,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,K Mency,25,17.8,6.1,1.3,1.2,0.7,0.1,0.3,-1.2819807430418368,-0.5160536130172527,-1.1708064985727815,-0.1893441579802695,-0.27869134993320904,-0.6759849732114666,-1.4744626301901775
38,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,D Victor,19,16.1,6.5,3.0,0.3,0.5,0.8,1.3,-1.3514351696015294,-0.4345399180458864,-0.40527917258288587,-1.0170486200083049,-0.6296360128120646,1.4134231258057937,-0.15172570600901542
39,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,D Wondie,26,18.0,8.3,1.7,0.6,0.4,0.0,0.6,-1.3754141215508144,-0.06772829067473808,-0.9906824218692768,-0.7411471326656265,-0.8051083442514924,-0.9744718444996465,-1.077641552935829
40,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,A Daguilh,26,18.2,6.9,2.3,0.5,0.6,0.2,0.7,-1.4531164707318753,-0.35302622307452003,-0.7204963068140194,-0.8331142951131859,-0.45416368137263685,-0.3774981019232865,-0.9453678605177128
41,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,A Rock,22,16.5,4.5,4.1,1.0,0.4,0.3,0.6,-1.4624148420666168,-0.8421083929027177,0.0900620383517523,-0.37327848287538845,-0.8051083442514924,-0.07901123063510652,-1.077641552935829
42,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,D Price,18,13.6,4.8,2.9,0.4,0.3,1.0,1.0,-1.570974874915733,-0.780973121674193,-0.45031019175876214,-0.9250814575607454,-0.9805806756909201,2.010396868382154,-0.5485467832633641
43,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,R Outlow,20,17.6,5.0,4.3,0.9,0.1,0.3,0.8,-1.7348105965333938,-0.7402162741885098,0.18012407670350483,-0.46524564532294793,-1.3315253385697758,-0.07901123063510652,-0.8130941680995966
44,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,R Sablon,26,20.5,5.7,3.0,1.6,0.7,0.0,1.2,-1.753244970993002,-0.5975673079886188,-0.40527917258288587,0.17852449180996863,-0.27869134993320904,-0.9744718444996465,-0.28399939842713173
45,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,T Engel-Chatten,25,16.8,5.6,3.7,0.9,0.4,0.2,1.0,-1.7770726385119093,-0.6179457317314605,-0.0900620383517523,-0.46524564532294793,-0.8051083442514924,-0.3774981019232865,-0.5485467832633641
46,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J Ingegneri,16,14.9,5.7,2.9,0.4,0.2,0.6,0.9,-1.7830542019061657,-0.5975673079886188,-0.45031019175876214,-0.9250814575607454,-1.156053007130348,0.8164493832294335,-0.6808204756814803
47,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,M Makiej,26,14.2,6.8,2.5,0.3,0.5,0.0,0.6,-1.839988001871316,-0.3734046468173617,-0.630434268462267,-1.0170486200083049,-0.6296360128120646,-0.9744718444996465,-1.077641552935829
48,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,W Martinez,26,19.6,4.0,2.5,0.8,1.2,0.2,0.7,-1.8524735855123011,-0.9440005116169254,-0.630434268462267,-0.5572128077705074,0.59867030726393,-0.3774981019232865,-0.9453678605177128
49,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,C Shoesmith,26,13.5,4.2,3.6,0.8,0.3,0.2,0.5,-2.002208626495127,-0.9032436641312422,-0.13509305752762857,-0.5572128077705074,-0.9805806756909201,-0.3774981019232865,-1.2099152453539452
50,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,A Thompson,25,12.4,4.3,2.4,0.6,0.8,0.3,0.8,-2.1979989650742064,-0.8828652403884008,-0.6754652876381432,-0.7411471326656265,-0.1032190184937811,-0.07901123063510652,-0.8130941680995966
51,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,J Potter,24,17.9,3.2,3.8,1.0,0.3,0.4,0.8,-2.2369496375944466,-1.107027901559658,-0.045031019175876257,-0.37327848287538845,-0.9805806756909201,0.2194756406530736,-0.8130941680995966
52,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,T Wheeler,23,18.8,5.0,2.0,3.7,1.1,0.0,2.7,-2.238182395783332,-0.7402162741885098,-0.855589364341648,2.1098349032087182,0.4231979758245024,-0.9744718444996465,1.7001059878446119
53,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,K Wiley,23,12.0,3.1,2.1,0.5,0.6,0.5,0.5,-2.4055518872328046,-1.1274063253024995,-0.8105583451657717,-0.8331142951131859,-0.45416368137263685,0.5179625119412535,-1.2099152453539452
54,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,X Smaltz,20,13.7,5.7,2.8,0.5,0.3,0.1,0.9,-2.408679914116723,-0.5975673079886188,-0.4953412109346384,-0.8331142951131859,-0.9805806756909201,-0.6759849732114666,-0.6808204756814803
55,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J McKinney,19,11.5,2.9,2.7,0.5,0.3,0.6,0.6,-2.517719317115035,-1.1681631727881825,-0.5403722301105145,-0.8331142951131859,-0.9805806756909201,0.8164493832294335,-1.077641552935829
56,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,J Olmstead,20,13.8,5.3,1.8,1.1,0.4,0.0,1.1,-2.773807533804202,-0.6790810029599852,-0.9456514026934003,-0.28131132042782886,-0.8051083442514924,-0.9744718444996465,-0.4162730908452478
57,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,I Alexander,21,15.3,4.9,1.3,0.6,0.5,0.0,0.6,-2.79949762403678,-0.7605946979313513,-1.1708064985727815,-0.7411471326656265,-0.6296360128120646,-0.9744718444996465,-1.077641552935829
58,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,A Fournier,25,15.1,2.4,2.9,1.2,0.5,0.4,1.1,-2.8599303412254002,-1.2700552915023904,-0.45031019175876214,-0.1893441579802695,-0.6296360128120646,0.2194756406530736,-0.4162730908452478
59,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Burleson,22,17.8,5.7,1.5,0.7,0.2,0.0,0.9,-2.926687762554417,-0.5975673079886188,-1.0807444602210292,-0.649179970218067,-1.156053007130348,-0.9744718444996465,-0.6808204756814803
60,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,D Burton,27,17.7,5.9,1.6,1.6,0.6,0.0,1.9,-2.941504107206388,-0.5568104605029357,-1.035713441045153,0.17852449180996863,-0.45416368137263685,-0.9744718444996465,0.6419164484996818
61,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,T Powell-Aparicio,17,14.8,5.7,2.4,1.4,1.0,0.2,2.6,-2.9908992655938453,-0.5975673079886188,-0.6754652876381432,-0.00540983308515054,0.24772564438507447,-0.3774981019232865,1.5678322954264954
62,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,B White,25,15.9,2.6,1.6,1.8,0.6,0.2,1.1,-3.0126875440432244,-1.2292984440167074,-1.035713441045153,0.36245881670508756,-0.45416368137263685,-0.3774981019232865,-0.4162730908452478
63,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,M Knight,25,15.0,2.6,3.0,1.2,0.5,0.1,1.2,-3.3004441936976843,-1.2292984440167074,-0.40527917258288587,-0.1893441579802695,-0.6296360128120646,-0.6759849732114666,-0.28399939842713173
64,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,A Bah,22,15.4,1.9,2.5,1.1,0.1,0.4,0.9,-3.3934852010694305,-1.3719474102165983,-0.630434268462267,-0.28131132042782886,-1.3315253385697758,0.2194756406530736,-0.6808204756814803
65,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,S Joacine,25,12.1,2.8,1.9,0.3,0.3,0.2,0.5,-3.4305586880540755,-1.1885415965310242,-0.9006203835175243,-1.0170486200083049,-0.9805806756909201,-0.3774981019232865,-1.2099152453539452
66,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,M Hayes,26,10.3,3.0,1.2,0.9,0.5,0.0,0.8,-3.6239063064169845,-1.147784749045341,-1.2158375177486578,-0.46524564532294793,-0.6296360128120646,-0.9744718444996465,-0.8130941680995966
67,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Simeon,22,12.8,2.7,2.1,0.1,0.3,0.1,0.9,-4.109545387502177,-1.2089200202738657,-0.8105583451657717,-1.2009829449034237,-0.9805806756909201,-0.6759849732114666,-0.6808204756814803
68,mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,J Florestal,20,10.8,1.9,0.9,0.1,0.5,0.1,0.5,-4.2151125812876025,-1.3719474102165983,-1.3509305752762863,-1.2009829449034237,-0.6296360128120646,-0.6759849732114666,-1.2099152453539452
